relative_path,bundle_path,kind,category,promotion_target,status,rationale,size_kb
02_market_and_fundamental_data/00_market_fundamental_data_definitive.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/00_market_fundamental_data_definitive.ipynb,ipynb,data_platform,notebook_data_bootstrap,curated_keep,Core market/fundamental data ingestion pattern for Database Finanziario alignment.,42.13
02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/01_parse_itch_order_flow_messages.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/01_parse_itch_order_flow_messages.ipynb,ipynb,market_microstructure,future_microstructure_lab,curated_keep,ITCH parser reference; useful only with local NASDAQ ITCH database preserved outside Drive.,93.97
02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/02_rebuild_nasdaq_order_book.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/02_rebuild_nasdaq_order_book.ipynb,ipynb,market_microstructure,future_microstructure_lab,curated_keep,Order book reconstruction reference for local ITCH research.,746.56
02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/03_normalize_tick_data.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/03_normalize_tick_data.ipynb,ipynb,market_microstructure,future_microstructure_lab,curated_keep,Tick normalization pattern for future microstructure feature store.,294.64
02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/01_NASDAQ_TotalView-ITCH_Order_Book/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,7.13
02_market_and_fundamental_data/02_algoseek_intraday/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/02_algoseek_intraday/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,21.0
02_market_and_fundamental_data/02_algoseek_intraday/algoseek_minute_data.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/02_algoseek_intraday/algoseek_minute_data.ipynb,ipynb,market_microstructure,future_microstructure_lab,curated_keep,Intraday minute data pattern; optional if licensed data are present.,121.01
02_market_and_fundamental_data/03_data_providers/02_yfinance_demo.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/03_data_providers/02_yfinance_demo.ipynb,ipynb,data_platform,data_platform,curated_keep,Free provider fallback reference for cache-first ingestion.,82.23
02_market_and_fundamental_data/03_data_providers/03_integrated_api_provider_registry_definitive.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/03_data_providers/03_integrated_api_provider_registry_definitive.ipynb,ipynb,data_platform,data_platform,curated_keep,Provider registry reference aligned with Drive-first/cache/API-last policy.,42.14
02_market_and_fundamental_data/03_data_providers/03_lobster_itch_data.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/03_data_providers/03_lobster_itch_data.ipynb,ipynb,market_microstructure,future_microstructure_lab,curated_keep,LOBSTER/ITCH data model reference; keep as optional microstructure appendix.,332.6
02_market_and_fundamental_data/03_data_providers/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/03_data_providers/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,3.39
02_market_and_fundamental_data/03_data_providers/api_provider_registry.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/03_data_providers/api_provider_registry.py,py,support,support,curated_keep,Support file retained for curated notebooks.,11.51
02_market_and_fundamental_data/04_sec_edgar/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/04_sec_edgar/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,3.58
02_market_and_fundamental_data/04_sec_edgar/edgar_xbrl.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/04_sec_edgar/edgar_xbrl.ipynb,ipynb,regulatory_data,smart_money_engine,curated_keep,SEC EDGAR/XBRL reference for fundamentals and smart-money extensions.,362.65
02_market_and_fundamental_data/05_storage_benchmark/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/05_storage_benchmark/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,1.54
02_market_and_fundamental_data/05_storage_benchmark/storage_benchmark.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/05_storage_benchmark/storage_benchmark.ipynb,ipynb,data_platform,data_platform,curated_keep,Storage benchmarking reference for cache/parquet design.,24.62
02_market_and_fundamental_data/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,22.66
02_market_and_fundamental_data/__init__.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/02_market_and_fundamental_data/__init__.py,py,support,support,curated_keep,Support file retained for curated notebooks.,0.07
03_alternative_data/00_alternative_data_definitive.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/03_alternative_data/00_alternative_data_definitive.ipynb,ipynb,alternative_data,smart_money_engine,curated_keep,Curated overview of finance alternative data sources.,42.27
03_alternative_data/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/03_alternative_data/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,7.38
03_alternative_data/__init__.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/03_alternative_data/__init__.py,py,support,support,curated_keep,Support file retained for curated notebooks.,0.07
03_alternative_data/free_finance_ml_sources.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/03_alternative_data/free_finance_ml_sources.py,py,support,support,curated_keep,Support file retained for curated notebooks.,2.85
04_alpha_factor_research/00_alpha_factor_research_definitive.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/04_alpha_factor_research/00_alpha_factor_research_definitive.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Canonical alpha-factor workflow reference.,12.75
04_alpha_factor_research/01_feature_engineering.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/04_alpha_factor_research/01_feature_engineering.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Feature engineering recipes for ml_stock_lab.features.,132.64
04_alpha_factor_research/01_ml_walk_forward_factor_backtest_definitive.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/04_alpha_factor_research/01_ml_walk_forward_factor_backtest_definitive.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Walk-forward validation pattern; directly useful for ML Lab.,9.37
04_alpha_factor_research/03_kalman_filter_and_wavelets.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/04_alpha_factor_research/03_kalman_filter_and_wavelets.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Optional signal denoising/regime feature reference.,1293.3
04_alpha_factor_research/06_performance_eval_alphalens.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/04_alpha_factor_research/06_performance_eval_alphalens.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Alphalens-style factor evaluation reference.,1293.45
04_alpha_factor_research/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/04_alpha_factor_research/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,14.58
04_alpha_factor_research/alpha_factor_utils.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/04_alpha_factor_research/alpha_factor_utils.py,py,support,support,curated_keep,Support file retained for curated notebooks.,6.56
05_strategy_evaluation/02_backtest_with_pf_optimization.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/05_strategy_evaluation/02_backtest_with_pf_optimization.ipynb,ipynb,portfolio_risk,portfolio_research,curated_keep,Backtest plus portfolio optimization reference.,6.35
05_strategy_evaluation/03_pyfolio_demo.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/05_strategy_evaluation/03_pyfolio_demo.ipynb,ipynb,portfolio_risk,portfolio_research,curated_keep,Tear-sheet style reporting reference.,9.07
05_strategy_evaluation/04_mean_variance_optimization.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/05_strategy_evaluation/04_mean_variance_optimization.ipynb,ipynb,portfolio_risk,portfolio_research,curated_keep,Mean-variance optimization reference.,7.38
05_strategy_evaluation/05_kelly_rule.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/05_strategy_evaluation/05_kelly_rule.ipynb,ipynb,portfolio_risk,portfolio_research,curated_keep,Position sizing reference; use conservatively.,6.12
05_strategy_evaluation/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/05_strategy_evaluation/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,18.75
05_strategy_evaluation/strategy_evaluation_utils.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/05_strategy_evaluation/strategy_evaluation_utils.py,py,support,support,curated_keep,Support file retained for curated notebooks.,4.04
06_machine_learning_process/01_machine_learning_workflow.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/06_machine_learning_process/01_machine_learning_workflow.ipynb,ipynb,ml_process,ml_stock_lab,curated_keep,"Research workflow hygiene: train/test, leakage, validation.",4.22
06_machine_learning_process/02_mutual_information.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/06_machine_learning_process/02_mutual_information.ipynb,ipynb,ml_process,ml_stock_lab,curated_keep,Feature relevance diagnostics for ML Lab.,6.26
06_machine_learning_process/03_bias_variance.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/06_machine_learning_process/03_bias_variance.ipynb,ipynb,ml_process,ml_stock_lab,curated_keep,Model diagnostics reference.,8.19
06_machine_learning_process/04_cross_validation.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/06_machine_learning_process/04_cross_validation.py,py,support,support,curated_keep,Support file retained for curated notebooks.,1.06
06_machine_learning_process/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/06_machine_learning_process/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,18.1
06_machine_learning_process/ml_process_utils.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/06_machine_learning_process/ml_process_utils.py,py,support,support,curated_keep,Support file retained for curated notebooks.,1.96
07_linear_models/02_fama_macbeth.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/07_linear_models/02_fama_macbeth.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Cross-sectional asset pricing reference.,4.99
07_linear_models/03_preparing_the_model_data.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/07_linear_models/03_preparing_the_model_data.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Panel preparation pattern.,16.44
07_linear_models/05_predicting_stock_returns_with_linear_regression.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/07_linear_models/05_predicting_stock_returns_with_linear_regression.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,OLS return-prediction baseline.,4.18
07_linear_models/06_evaluating_signals_using_alphalens.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/07_linear_models/06_evaluating_signals_using_alphalens.ipynb,ipynb,factor_research,ml_stock_lab,curated_keep,Signal evaluation reference.,6.7
07_linear_models/07_logistic_regression_macro_data.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/07_linear_models/07_logistic_regression_macro_data.ipynb,ipynb,macro_risk,portfolio_research,curated_keep,Macro classification pattern for risk overlay.,3.68
07_linear_models/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/07_linear_models/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,15.48
07_linear_models/linear_model_utils.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/07_linear_models/linear_model_utils.py,py,support,support,curated_keep,Support file retained for curated notebooks.,2.24
08_ml4t_workflow/02_vectorized_backtest.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/08_ml4t_workflow/02_vectorized_backtest.ipynb,ipynb,backtesting,portfolio_research,curated_keep,Vectorized backtest pattern aligned with vectorbt-style research.,6.65
08_ml4t_workflow/03_backtesting_with_backtrader.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/08_ml4t_workflow/03_backtesting_with_backtrader.ipynb,ipynb,backtesting,portfolio_research,curated_keep,Backtrader reference; optional bridge only.,3.93
08_ml4t_workflow/04_ml4t_workflow_with_zipline/03_ml4t_with_zipline.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/08_ml4t_workflow/04_ml4t_workflow_with_zipline/03_ml4t_with_zipline.ipynb,ipynb,backtesting,portfolio_research,curated_keep,End-to-end ML4T workflow reference; optional legacy dependency.,7.29
08_ml4t_workflow/04_ml4t_workflow_with_zipline/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/08_ml4t_workflow/04_ml4t_workflow_with_zipline/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,17.06
08_ml4t_workflow/README.md,research_platform_definitive/laboratorio/notebooks_ml4t_reference/08_ml4t_workflow/README.md,md,support,support,curated_keep,Support file retained for curated notebooks.,13.57
08_ml4t_workflow/ml4t_workflow_utils.py,research_platform_definitive/laboratorio/notebooks_ml4t_reference/08_ml4t_workflow/ml4t_workflow_utils.py,py,support,support,curated_keep,Support file retained for curated notebooks.,3.12
09_time_series_models/03_arch_garch_models.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/09_time_series_models/03_arch_garch_models.ipynb,ipynb,macro_risk,portfolio_research,curated_keep,Volatility modeling reference.,6.42
09_time_series_models/05_cointegration_tests.ipynb,research_platform_definitive/laboratorio/notebooks_ml4t_reference/09_time_series_models/05_cointegration_tests.ipynb,ipynb,macro_risk,portfolio_research,curated_keep,Cointegration diagnostics reference.,3.75
